vkontakte.ru	vkontakte.ru/	ВКонтакте.ру	81373848	0	private
mail.ru	mail.ru/	Почта Mail.Ru	17182814	0	private
hsdigital	www.hsdigital.ru/	Hearst Shkulev Digital	5481857	0	public
otvet.mail.ru	otvet.mail.ru/	Ответы Mail.Ru	5149984	0	private
RS_Total/Riaru_Total	ria.ru	РИА Новости: главные новости часа	4539807	0	public
Lenta	lenta.ru	Lenta.Ru	3771123	0	public
news.rambler.ru	news.rambler.ru/	Рамблер/медиа - главные новости и cобытия в России и мире	3468489	0	private
kp	kp.ru	Комсомольская правда-Digital	3338059	0	public
hsdigital/wn	hearst-shkulev-media.ru	Women's Network Hearst Shkulev Media	3144910	0	public
go.mail.ru	go.mail.ru/	Поиск Mail.Ru	3106726	0	private
RBCRU	www.rbc.ru	РБК - РосБизнесКонсалтинг - новости, курсы валют, погода	2921299	0	public
sinoptik.ua	sinoptik.ua/	SINOPTIK.ua - погодный сайт №1 в Украине	2514511	0	public
vesti.ru	vesti.ru/	Информационный канал &quot;Вести&quot;	2425094	0	private
gazeta_all	www.gazeta.ru/	Газета.Ru: Главные новости и подробности текущих событий	2401613	0	public
drom	www.drom.ru	Drom.ru - продажа автомобилей, отзывы, форумы, каталоги	2271373	0	public
mk	www.mk.ru	МОСКОВСКИЙ КОМСОМОЛЕЦ	2194107	0	public
mic_izvestia	iz.ru	Известия	2180081	0	private
russian.rt.com	russian.rt.com/	RT на русском	1973658	0	private
mail-my	my.mail.ru/	Мой Мир Mail.Ru	1958626	0	private
HeadHunter	hh.ru/	HeadHunter Group - Online Hiring Services	1817349	0	public
uaprom	prom.ua	Prom.ua — Всеукраинский Торговый Центр в Интернете	1797159	0	public
Lentainform	lentainform.com/	Lentainform.com - Эффективная система рекомендации контента	1704097	0	private
obozrevatel	obozrevatel.ua	OBOZREVATEL	1615492	0	private
Pikabu	pikabu.ru	Сообщество Пикабу	1578971	0	private
smi2.ru	smi2.ru/	СМИ2 - Новостной агрегатор и новостная обменная сеть	1485095	0	public
hsdigital/rn/smi	news.ngs.ru	Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ	1449156	0	public
rutube.ru	www.rutube.ru/	Rutube - лучшее видео:)	1442870	0	private
fishki	fishki.net/	Фишки Нет - первое развлекательное сообщество Рунета	1401427	0	private
rg.ru	rg.ru/	Российская Газета: издание Правительства РФ	1386848	0	public
2gis	www.2gis.ru	Карта онлайн со справочником организаций — 2ГИС	1316333	0	private
gismeteo.ua	www.gismeteo.ua/	GISMETEO.UA: Вся погода по УКРАИНЕ	1265413	0	private
AIF	www.aif.ru	Аргументы и Факты //  Объясняем, что происходит	1254057	0	public
woman.ru	www.woman.ru/	Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины	1252050	0	public
actualidad.rt.com	actualidad.rt.com/	RT - Noticias internacionales	1223720	0	private
TASS_total	tass.ru	ТАСС - Новости в России и мире	1199195	0	private
ura.ru	ura.ru/	URA.Ru - Российское информационное агентство	1173308	0	public
irecommend.ru	irecommend.ru/	IRecommend - отзывы и рекомендации от реальных людей	1169847	0	private
championat_com	championat.com	Чемпионат: ведущий сайт о спорте	1167472	0	public
life.ru	life.ru/	L!FE.ru	1129998	0	private
Slando_Ukraine	slando.com.ua	OLX.ua - сайт бесплатных объявлений № 1 в Украине.	1016497	0	private
ruprom	tiu.ru	Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг	999140	0	public
echo.msk.ru	www.echo.msk.ru/	Эхо Москвы	958283	0	public
starhit.ru	starhit.ru/	Starhit.ru - проект Андрея Малахова о звездах	907175	0	public
segodnya.ua	segodnya.ua/	СЕГОДНЯ.UA	896917	0	private
farpost	farpost.ru	Сайты Владивостока	851705	0	public
riafan.ru	riafan.ru/	Федеральное агентство новостей	831810	0	private
vokrug.tv	www.vokrug.tv/	Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения	802077	0	public
nur	nur.kz	Nur.kz - Казахстанский Портал Нур	791661	0	public
zaycev.net	zaycev.net/	ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ	786893	0	private
BabyBlog	www.babyblog.ru	BabyBlog.ru — общение о семье и детях	781593	0	private
NaPlatforme	mirtesen.ru	Рекомендательная социальная сеть МирТесен	765170	0	public
kommersant.ru	www.kommersant.ru/	&quot;Коммерсантъ&quot;. Издательский дом	752646	0	public
baby_ru	www.baby.ru/	бэби.ру - быть счастливой мамой	749170	0	private
Sportbox	www.sportbox.ru	Sportbox.ru	740507	0	public
vz.ru	vz.ru/	ВЗГЛЯД.РУ	724898	0	private
